issue_number,title,state,commit_count,first,last,span_days,scopes
60,feat(api): REST→gRPC bridge — grpc-gateway in services + Kong in local stack,OPEN,8,2026-04-13,2026-04-13,0,iam; iam-gateway; web
92,feat(iam): scheduled tenant retention sweeper (suspended → deactivated → purge),OPEN,5,2026-04-21,2026-04-23,2,iam
61,feat(onboarding): capture company address + country-driven primary currency,OPEN,3,2026-04-14,2026-04-14,0,iam; seed
23,[P2] Add load and chaos testing for the double-entry ledger and concurrent expense approvals,CLOSED,3,2026-04-04,2026-04-11,7,chaos; frontend; load
19,[P1] Document NATS JetStream dead-letter strategy for financial events,CLOSED,3,2026-04-04,2026-04-11,7,events; infra
17,[P1] Raise test coverage targets: 800+ tests with per-service thresholds,CLOSED,3,2026-04-04,2026-04-11,7,coverage; services
16,[P1] Add CI test suite for vertical plugin YAML schema validation,CLOSED,3,2026-04-04,2026-04-10,6,iam; vertical
55,ci(lint): golangci-lint binary built on Go 1.24 fails on Go 1.25 target,CLOSED,2,2026-04-13,2026-04-14,1,lint; nightly
58,ci(lint): fix 49 findings exposed by golangci-lint v2 (errcheck + staticcheck + unused),CLOSED,2,2026-04-13,2026-04-13,0,lint
57,ci(doc-drift): Documentation Drift Check fails to checkout thittam_docs (404),CLOSED,2,2026-04-13,2026-04-13,0,doc-drift
47,feat(rbac): expand RequirePermission coverage to all mutating RPCs in project-scoped services,CLOSED,2,2026-04-13,2026-04-13,0,project; rbac
52,verify(rbac): end-to-end dev rollout verification of PROJECT_SCOPED_RBAC,CLOSED,2,2026-04-13,2026-04-13,0,rbac; server
46,feat(rbac): wire IAM client into project-scoped services + PROJECT_SCOPED_RBAC rollout (ADR-014 Phase 2),CLOSED,2,2026-04-13,2026-04-13,0,rbac
44,chore(dev): separate DB lifecycle from app startup; add per-test DB scaffold,CLOSED,2,2026-04-13,2026-04-13,0,dev
28,[P3] Set MinIO presigned URL window dynamically based on file size,CLOSED,2,2026-04-04,2026-04-11,7,document; frontend
27,"[P3] Define and document impersonation session lifecycle, maximum duration, and revocation policy",CLOSED,2,2026-04-04,2026-04-11,7,frontend; platform
26,[P3] Implement automated documentation drift detection in CI (Rule #16),CLOSED,2,2026-04-04,2026-04-11,7,drift; frontend
25,[P3] Replace bcrypt with argon2id or add per-IP rate limiting on auth endpoints,CLOSED,2,2026-04-04,2026-04-11,7,frontend; iam
31,feat(infra): Prometheus alert rules for all services,CLOSED,2,2026-04-04,2026-04-11,7,frontend; infra
