scope,commit_count,first,last,issue_count
progress,69,2026-04-20,2026-06-24,1
iam,21,2026-04-04,2026-04-24,11
infra,17,2026-04-10,2026-06-11,4
frontend,14,2026-04-04,2026-04-11,11
ci,6,2026-04-10,2026-04-23,3
ui,5,2026-04-14,2026-04-20,4
vertical,5,2026-04-03,2026-04-10,3
web,4,2026-04-13,2026-04-23,1
lint,4,2026-04-13,2026-04-13,2
rbac,4,2026-04-13,2026-04-13,4
seed,3,2026-04-14,2026-04-20,3
dev-start,3,2026-04-13,2026-04-13,0
verify-rbac,3,2026-04-13,2026-04-13,0
billing,3,2026-04-10,2026-04-12,1
orchestration,2,2026-06-22,2026-06-22,3
readme,2,2026-04-20,2026-04-21,1
doc-drift,2,2026-04-13,2026-04-13,1
coverage,2,2026-04-10,2026-04-13,1
platform,2,2026-04-11,2026-04-12,1
proto,2,2026-04-10,2026-04-11,1
reporting,2,2026-04-04,2026-04-10,2
security,1,2026-05-13,2026-05-13,2
corsutil,1,2026-04-24,2026-04-24,0
docs,1,2026-04-22,2026-04-22,0
api,1,2026-04-22,2026-04-22,0
demo,1,2026-04-21,2026-04-21,1
commands,1,2026-04-21,2026-04-21,1
glossary,1,2026-04-20,2026-04-20,0
api-docs,1,2026-04-20,2026-04-20,0
payments,1,2026-04-20,2026-04-20,2
budget,1,2026-04-20,2026-04-20,1
tooling,1,2026-04-20,2026-04-20,5
nightly,1,2026-04-14,2026-04-14,1
iam-gateway,1,2026-04-13,2026-04-13,1
iam-handler,1,2026-04-13,2026-04-13,0
ports,1,2026-04-13,2026-04-13,0
seeds,1,2026-04-13,2026-04-13,0
deps,1,2026-04-13,2026-04-13,1
buf,1,2026-04-13,2026-04-13,1
project,1,2026-04-13,2026-04-13,1
server,1,2026-04-13,2026-04-13,1
dev,1,2026-04-13,2026-04-13,1
document,1,2026-04-11,2026-04-11,1
drift,1,2026-04-11,2026-04-11,1
chaos,1,2026-04-11,2026-04-11,1
events,1,2026-04-11,2026-04-11,1
services,1,2026-04-11,2026-04-11,1
auth,1,2026-04-11,2026-04-11,0
load,1,2026-04-10,2026-04-10,1
migrate,1,2026-04-10,2026-04-10,1
registration,1,2026-04-10,2026-04-10,1
secrets,1,2026-04-10,2026-04-10,1
tenantdb,1,2026-04-10,2026-04-10,0
backend,1,2026-04-06,2026-04-06,0
cli,1,2026-04-04,2026-04-04,1
database,1,2026-04-04,2026-04-04,0
